experiment_location,year_sampled,month_sampled,experiment_duration_years,co2_ambient_mean,co2_increased_mean,co2_ambient_n,co2_increased_n,depth_range_cm,source_citation,source_description,value_adjustment
ArizonaFACE - wheat - high N,1995,Nov,0,1343.84,1228.4,4,4,0-15 ,Leavitt et al. 2001,fig. 3,assumed BD= 1.48 g/cm3 (Post et al. 1988)
ArizonaFACE - wheat - high N,1996,May,0,1363.08,1305.36,4,4,0-15 ,Leavitt et al. 2001,fig. 3,assumed BD= 1.48 g/cm3 (Post et al. 1988)
ArizonaFACE - wheat - high N,1996,Dec,1,1253.56,1263.92,4,4,0-15 ,Leavitt et al. 2001,fig. 3,assumed BD= 1.48 g/cm3 (Post et al. 1988)
ArizonaFACE - wheat - high N,1997,May,1,1258,1400.08,4,4,0-15 ,Leavitt et al. 2001,fig. 3,assumed BD= 1.48 g/cm3 (Post et al. 1988)
Biosphere 2,1999,,0,5950,6362.43,1,1,0-25 ,Trueman and  Gonzalez-Meler 2005,fig. 3,"bulk density: 0.91 g/cm3 for ambient, 0.97 for 800 ppm (table 2)"
Biosphere 2,2000,,1,5253.57,4735.13,1,1,0-25 ,Trueman and  Gonzalez-Meler 2005,fig. 3,"bulk density: 0.91 g/cm3 for ambient, 0.97 for 800 ppm (table 2)"
Biosphere 2,2001,,2,6084.09,4784.77,1,1,0-25 ,Trueman and  Gonzalez-Meler 2005,fig. 3,"bulk density: 0.91 g/cm3 for ambient, 0.97 for 800 ppm (table 2)"
Biosphere 2,2002,,3,5470,4063.79,1,1,0-25 ,Trueman and  Gonzalez-Meler 2005,fig. 3,"bulk density: 0.91 g/cm3 for ambient, 0.97 for 800 ppm (table 2)"
Biosphere 2,2003,,4,5335,4220.35,1,1,0-25 ,Trueman and  Gonzalez-Meler 2005,fig. 3,"bulk density: 0.91 g/cm3 for ambient, 0.97 for 800 ppm (table 2)"
China FACE - low N,2008,Mar,3,1936.62,2192.4,3,3,0-15 ,Zhong et al. 2009,table 1,bulk density: 1.16 g/cm3 f(text)
China FACE - low N,2008,Jun,4,1936.62,2122.8,3,3,0-15 ,Zhong et al. 2009,table 1,bulk density: 1.16 g/cm3 f(text)
China FACE - high N,2008,Mar,3,1926.18,2134.98,3,3,0-15 ,Zhong et al. 2009,table 1,bulk density: 1.16 g/cm3 f(text)
China FACE - high N,2008,Jun,4,1936.62,2105.4,3,3,0-15 ,Zhong et al. 2009,table 1,bulk density: 1.16 g/cm3 f(text)
China OTC - low N,2005,Jul,0,1103.17,1168.46,2,3,0-20 ,Liu et al. 2010,fig. 3,"bulk density estimated from final soil C contents (text, page 733 and fig. 3)"
